latitude,longitude,material_of_building,Type_of_furniture,square_meters,number_of_rooms,year_of_completion,floor,residential_complex,number_of_floors,type_of_building,smart_house,floor_heating,security,cost_in_dollars
49.87555,23.9374,insulated panel,none,65.1,2.0,1990.0,6.0,Галжитлобуд,1.0,apartment,No,No,No,39800.0
49.87555,23.9374,insulated panel,none,122,4.0,1990.0,10.0,Галжитлобуд,1.0,apartment,No,No,No,75000.0
49.87538,23.93125,brick house,none,71.9,2.0,2017.0,6.0,ЖК Зелений Двір,1.0,apartment,No,No,No,50000.0
49.87538,23.93125,brick house,none,130,3.0,2021.0,10.0,ЖК Зелений Двір,1.0,apartment,No,No,No,95000.0
49.87538,23.93125,brick house,none,81,3.0,2017.0,3.0,ЖК Еко-Дім,1.0,apartment,No,No,No,65000.0
49.87538,23.93125,brick house,none,48,1.0,2023.0,4.0,none,1.0,apartment,No,No,No,27840.0
49.87538,23.93125,brick house,none,36.5,1.0,2023.0,3.0,none,1.0,apartment,No,No,No,20880.0
49.87538,23.93125,brick house,good,70,2.0,2019.0,3.0,none,1.0,apartment,No,No,No,75000.0
49.87538,23.93125,brick house,none,70,3.0,2020.0,1.0,none,1.0,apartment,No,No,No,55500.0
49.87772,23.92814,monolithic frame,none,134,5.0,2019.0,9.0,ЖК Зелений Двір,1.0,apartment,No,No,No,87000.0
49.87538,23.92814,brick house,none,68,2.0,2019.0,5.0,none,1.0,apartment,No,No,No,42000.0
49.87538,23.92814,brick house,none,67,2.0,2019.0,10.0,none,1.0,apartment,No,No,No,48000.0
49.87772,23.92814,monolithic frame,perfect,43.5,1.0,2015.0,10.0,none,1.0,apartment,No,No,No,64999.0
49.87538,23.92814,brick house,none,60.25,2.0,2021.0,5.0,Галжитлобуд,1.0,apartment,No,No,No,36900.0
49.87538,23.92814,brick house,none,68,2.0,2019.0,5.0,none,1.0,apartment,No,No,No,42000.0
49.87538,23.92814,brick house,none,70,2.0,2019.0,7.0,none,1.0,apartment,No,No,No,75000.0
49.87501,23.93226,monolithic frame,perfect,43,2.0,2017.0,7.0,ЖК Еко-Дім,1.0,apartment,No,No,No,68000.0
49.87501,23.93226,monolithic frame,none,80.7,3.0,2017.0,3.0,ЖК Еко-Дім,1.0,apartment,No,No,No,65000.0
49.87483,23.93333,monolithic frame,perfect,38,1.0,2014.0,6.0,AVALON,1.0,apartment,No,No,No,56000.0
49.87483,23.93333,monolithic frame,perfect,43,1.0,2014.0,10.0,AVALON,1.0,apartment,No,No,No,65000.0
49.87255,23.94238,brick house,none,70,2.0,2015.0,1.0,none,1.0,apartment,No,No,No,42000.0
49.87255,23.94238,brick house,good,45,1.0,2015.0,10.0,none,1.0,apartment,No,No,No,42000.0
49.87255,23.94238,brick house,none,58,2.0,2015.0,4.0,none,1.0,apartment,No,No,No,52000.0
49.87255,23.94238,brick house,none,79.4,2.0,2015.0,2.0,none,1.0,apartment,No,No,No,69117.0
49.87332,23.9508,brick house,none,49,1.0,2022.0,3.0,ЖК Інжир,1.0,apartment,No,No,No,46600.0
49.87332,23.9508,brick house,none,64,2.0,2022.0,2.0,ЖК Інжир,1.0,apartment,No,No,No,57450.0
49.87332,23.9508,brick house,none,67.49,3.0,2022.0,2.0,ЖК Інжир,1.0,apartment,No,No,No,60700.0
49.87332,23.9508,brick house,none,62.48,1.0,2022.0,4.0,ЖК Інжир,1.0,apartment,No,No,No,65600.0
49.87332,23.9508,brick house,none,70.37,2.0,2023.0,3.0,ЖК Інжир,1.0,apartment,No,No,No,63300.0
49.87332,23.9508,brick house,none,61.35,2.0,2023.0,2.0,ЖК Інжир,1.0,apartment,No,No,No,55215.0
49.87332,23.9508,brick house,none,53.84,1.0,2022.0,4.0,ЖК Інжир,1.0,apartment,No,No,No,53840.0
49.87332,23.9508,brick house,none,72.65,3.0,2022.0,3.0,ЖК Інжир,1.0,apartment,No,No,No,65400.0
49.87388,23.95885,brick house,good,185,6.0,2000.0,0.0,none,3.0,cottege,No,No,No,165000.0
49.87165,23.95649,brick house,perfect,48,1.0,2021.0,4.0,none,1.0,apartment,No,No,No,63000.0
49.87165,23.95649,brick house,none,101,3.0,2021.0,4.0,none,1.0,apartment,No,No,No,95000.0
49.87165,23.95649,brick house,none,75,2.0,2021.0,4.0,none,1.0,apartment,No,No,No,82500.0
49.87165,23.95649,brick house,none,100.8,3.0,2021.0,3.0,none,1.0,apartment,No,No,No,105840.0
49.87165,23.95649,brick house,none,75.5,2.0,2021.0,3.0,none,1.0,apartment,No,No,No,79275.0
49.86466,23.96002,brick house,medium,40,2.0,1985.0,7.0,none,1.0,apartment,No,No,No,30000.0
49.86771,23.95232,monolithic frame,perfect,97.9,2.0,2017.0,8.0,Нова Оселя,1.0,apartment,No,No,No,130000.0
49.85983,23.96862,brick house,none,53,1.0,2000.0,9.0,ЖК Галіція,1.0,apartment,No,No,No,36500.0
49.85983,23.96862,brick house,none,39.41,1.0,2000.0,12.0,ЖК Галіція,1.0,apartment,No,No,No,25000.0
49.85983,23.96862,brick house,none,78,2.0,2021.0,12.0,ЖК Галіція,1.0,apartment,No,No,No,46.842
49.85983,23.96862,brick house,none,51,2.0,2000.0,10.0,ЖК Галіція,1.0,apartment,No,No,No,31500.0
49.86619,23.95277,brick house,none,88,2.0,2021.0,9.0,none,1.0,apartment,No,No,No,68000.0
49.85316,23.98989,brick house,perfect,180,6.0,2000.0,2.0,none,1.0,apartment,No,No,Yes,317000.0
49.84909,24.00106,brick house,good,30,1.0,1917.0,1.0,none,1.0,apartment,No,No,No,30000.0
49.84902,24.00289,brick house,none,44,2.0,1955.0,0.0,none,1.0,mansion,No,No,No,45000.0
49.8502,24.00409,brick house,medium,76.1,3.0,1950.0,1.0,none,1.0,apartment,No,No,No,86000.0
49.84867,24.00547,monolithic frame,low,104,3.0,2015.0,2.0,none,1.0,apartment,No,No,No,119000.0
49.84867,24.00547,monolithic frame,low,105,3.0,2015.0,5.0,none,1.0,apartment,No,No,No,130750.0
49.84867,24.00547,monolithic frame,low,105,3.0,2015.0,5.0,none,1.0,apartment,No,No,No,121000.0
49.84894,24.00574,brick house,good,59,2.0,1986.0,1.0,none,1.0,apartment,No,No,No,63000.0
49.84843,24.0054,brick house,perfect,70,3.0,1954.0,1.0,none,1.0,apartment,No,No,No,88000.0
49.84808,24.00386,monolithic frame,perfect,171,6.0,2016.0,7.0,ЖК Аурум,1.0,apartment,Yes,Yes,Yes,370000.0
49.84808,24.00386,monolithic frame,none,101,3.0,2016.0,9.0,ЖК Аурум,1.0,apartment,No,Yes,Yes,120000.0
49.84808,24.00386,monolithic frame,none,43.89,1.0,2016.0,4.0,ЖК Аурум,1.0,apartment,No,Yes,Yes,39990.0
49.84808,24.00386,monolithic frame,none,45,1.0,2016.0,2.0,ЖК Аурум,1.0,apartment,No,Yes,Yes,54000.0
49.84808,24.00386,monolithic frame,perfect,170,4.0,2016.0,7.0,ЖК Аурум,1.0,apartment,No,Yes,Yes,320000.0
49.81109,24.05336,brick house,none,39.34,1.0,2023.0,2.0,ЖК Аурум,1.0,apartment,No,No,Yes,39340.0
49.84808,24.00386,monolithic frame,perfect,44,1.0,2016.0,5.0,ЖК Аурум,1.0,apartment,No,Yes,Yes,78000.0
49.84808,24.00386,monolithic frame,none,61,2.0,2016.0,5.0,ЖК Аурум,1.0,apartment,No,No,Yes,73000.0
49.84808,24.00386,monolithic frame,perfect,47,1.0,2016.0,5.0,ЖК Аурум,1.0,apartment,No,Yes,Yes,82000.0
49.84808,24.00386,monolithic frame,perfect,40.2,1.0,2016.0,6.0,ЖК Аурум,1.0,apartment,No,Yes,Yes,100000.0
49.84808,24.00386,monolithic frame,perfect,47,1.0,2016.0,4.0,ЖК Аурум,1.0,apartment,No,Yes,Yes,78000.0
49.84714,24.00471,monolithic frame,perfect,65,2.0,2016.0,9.0,ЖК Шоколад,1.0,apartment,No,Yes,Yes,160000.0
49.84714,24.00471,monolithic frame,perfect,46.1,1.0,2016.0,5.0,ЖК Шоколад,1.0,apartment,No,No,Yes,85000.0
49.84733,24.00553,monolithic frame,perfect,65,2.0,2017.0,9.0,ЖК Шоколад,1.0,apartment,No,Yes,Yes,175000.0
49.84604,24.00746,brick house,low-medium,35.8,1.0,1935.0,4.0,none,1.0,apartment,No,No,Yes,41000.0
49.84587,24.00865,brick house,none,46,1.0,2020.0,2.0,Семицвіт,1.0,apartment,No,No,No,71300.0
49.84384,24.01834,brick house,perfect,55.5,1.0,1917.0,1.0,none,1.0,apartment,No,No,No,75000.0
49.84384,24.01834,brick house,perfect,157,4.0,1917.0,4.0,none,1.0,apartment,No,Yes,No,230000.0
49.84384,24.01834,brick house,medium-good,23,1.0,1917.0,4.0,none,1.0,apartment,No,No,No,33900.0
49.84384,24.01834,brick house,perfect,61,2.0,1917.0,3.0,none,1.0,apartment,No,No,No,150000.0
49.84384,24.01834,brick house,medium-good,72,2.0,1917.0,4.0,none,1.0,apartment,No,No,No,70000.0
49.84384,24.01834,brick house,perfect,95,3.0,1917.0,2.0,none,1.0,apartment,No,No,No,200000.0
49.84396,24.01825,brick house,perfect,34,1.0,1917.0,1.0,none,1.0,apartment,No,No,No,55000.0
49.84396,24.01825,brick house,good,125,4.0,1917.0,4.0,none,1.0,apartment,No,No,No,160000.0
49.84396,24.01825,brick house,low,65,2.0,1917.0,1.0,none,1.0,apartment,No,No,No,75000.0
49.84396,24.01825,brick house,medium-good,120,4.0,1917.0,3.0,none,2.0,apartment,No,No,No,153000.0
49.84455,24.01851,brick house,good,101,3.0,1880.0,3.0,none,1.0,apartment,No,No,No,150000.0
49.84451,24.01874,brick house,perfect,55.5,2.0,1891.0,1.0,none,1.0,apartment,No,No,No,75000.0
49.84451,24.01874,brick house,good,101.8,3.0,1891.0,3.0,none,1.0,apartment,No,No,No,149900.0
49.84476,24.01969,brick house,perfect,68,1.0,1912.0,1.0,none,1.0,apartment,No,No,No,75000.0
49.84476,24.01969,brick house,medium-good,25,1.0,1912.0,1.0,none,1.0,apartment,No,No,No,42500.0
49.84431,24.01983,brick house,perfect,34,1.0,1915.0,1.0,none,1.0,apartment,No,No,No,53000.0
49.84422,24.02048,brick house,medium,28,1.0,1915.0,1.0,none,1.0,apartment,No,No,No,34900.0
49.84422,24.02048,brick house,low-medium,32,1.0,1915.0,2.0,none,1.0,apartment,No,No,No,35000.0
49.84418,24.0229,brick house,medium-good,90,3.0,1891.0,1.0,none,1.0,apartment,No,No,No,165000.0
49.84417,24.02404,brick house,medium-good,70.6,2.0,1800.0,2.0,none,1.0,apartment,No,No,No,70000.0
49.84518,24.02184,brick house,medium-good,28,2.0,1906.0,1.0,none,1.0,apartment,No,No,No,40000.0
49.84508,24.02512,brick house,none,110,3.0,1958.0,3.0,none,1.0,apartment,No,No,No,89000.0
49.84534,24.02383,brick house,perfect,58,2.0,1893.0,2.0,none,1.0,apartment,No,No,No,84500.0
49.84494,24.02246,brick house,medium-good,58,2.0,1967.0,1.0,none,1.0,apartment,No,No,No,54000.0
49.84579,24.02286,brick house,medium-good,46,2.0,1917.0,2.0,none,1.0,apartment,No,No,No,70000.0
49.84579,24.02286,brick house,good,40,1.0,1917.0,2.0,none,1.0,apartment,No,No,No,59000.0
49.84614,24.02399,brick house,medium-good,49,2.0,1917.0,2.0,none,1.0,apartment,No,No,No,75000.0
49.84622,24.02212,brick house,perfect,146,2.0,2000.0,7.0,none,1.0,apartment,No,Yes,No,285000.0
49.84728,24.02037,brick house,none,36,2.0,1900.0,3.0,none,1.0,apartment,No,Yes,No,43000.0
49.84656,24.02537,brick house,medium,35,2.0,1950.0,2.0,none,1.0,apartment,No,Yes,No,38500.0
49.84669,24.02263,monolithic frame,perfect,63.2,1.0,2017.0,6.0,ЖК Старе Місто,1.0,apartment,No,Yes,No,190000.0
49.84666,24.02268,monolithic frame,perfect,146,2.0,2017.0,7.0,ЖК Старе Місто,1.0,apartment,No,Yes,No,290000.0
49.84666,24.02268,monolithic frame,perfect,63.2,1.0,2017.0,6.0,ЖК Старе Місто,1.0,apartment,No,Yes,No,190000.0
49.84725,24.02046,brick house,none,36,2.0,1900.0,3.0,none,1.0,apartment,No,No,No,43000.0
49.84788,24.01891,brick house,medium,70,3.0,1960.0,3.0,none,1.0,apartment,No,No,No,79000.0
49.84711,24.02446,brick house,perfect,102,4.0,1917.0,3.0,none,1.0,apartment,No,Yes,No,175000.0
49.84729,24.02453,brick house,perfect,60,3.0,1917.0,3.0,none,1.0,apartment,No,Yes,No,125000.0
49.84742,24.02453,brick house,perfect,60,3.0,1909.0,3.0,none,1.0,apartment,No,Yes,No,130000.0
49.84807,24.02406,brick house,low-medium,22,1.0,1895.0,1.0,none,1.0,apartment,No,No,No,27000.0
49.8483,24.02367,brick house,perfect,118,4.0,2019.0,6.0,none,1.0,apartment,No,No,No,270000.0
49.84768,24.0243,brick house,low-medium,44,2.0,1950.0,2.0,none,1.0,apartment,No,No,No,37000.0
49.84768,24.0243,brick house,medium,57,1.0,1950.0,4.0,none,1.0,apartment,No,No,No,84500.0
49.8495,24.0235,brick house,perfect,193,3.0,1980.0,7.0,none,2.0,apartment,Yes,Yes,No,550000.0
49.84768,24.0243,brick house,perfect,80,3.0,1917.0,3.0,West Home,1.0,apartment,No,No,No,140000.0
49.84768,24.0243,brick house,perfect,102,4.0,1917.0,3.0,none,1.0,apartment,No,No,No,170000.0
49.84768,24.0243,brick house,perfect,43.2,2.0,1917.0,3.0,none,1.0,apartment,No,No,No,75000.0
49.84768,24.0243,brick house,low-medium,33,2.0,1917.0,2.0,none,1.0,apartment,No,No,No,37000.0
